78.108.177.52 - - [22/Dec/2019:01:03:27 +0800] "GET / HTTP/1.0" 404 994
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:04:04 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:04:04 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:04:04 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/index.html HTTP/1.1" 200 48761
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/plugins/jquery-sparkline/jquery.sparkline.min.js HTTP/1.1" 200 63042
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/plugins/chartjs/Chart.bundle.min.js HTTP/1.1" 200 188455
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/js/pages/index.js HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:30 +0800] "GET /login_demo/assets/js/pages/charts/sparkline.min.js HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:31 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/doctor-schedule.html HTTP/1.1" 200 31067
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/fullcalendarscripts.bundle.js HTTP/1.1" 200 160717
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/js/pages/calendar/calendar.js HTTP/1.1" 200 5012
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 11632
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:36 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/index.html HTTP/1.1" 200 48761
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/js/pages/charts/sparkline.min.js HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/js/pages/index.js HTTP/1.1" 200 3989
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/jquery-sparkline/jquery.sparkline.min.js HTTP/1.1" 200 63042
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/chartjs/Chart.bundle.min.js HTTP/1.1" 200 188455
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:38 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/doctors.html HTTP/1.1" 200 46155
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/random-avatar4.jpg HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/random-avatar3.jpg HTTP/1.1" 200 4043
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/random-avatar6.jpg HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:42 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/add-doctor.html HTTP/1.1" 200 38336
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/waitme/waitMe.css HTTP/1.1" 200 14647
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/dropzone/dropzone.css HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/random-avatar7.jpg HTTP/1.1" 200 6882
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/bundles/morphingsearchscripts.bundle.js HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/autosize/autosize.js HTTP/1.1" 200 6940
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/bundles/mainscripts.bundle.js HTTP/1.1" 200 8095
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/dropzone/dropzone.js HTTP/1.1" 200 64400
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-material-datetimepicker/js/bootstrap-material-datetimepicker.js HTTP/1.1" 200 50239
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/momentjs/moment.js HTTP/1.1" 200 139009
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/js/pages/forms/basic-form-elements.js HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/waitme/waitMe.css HTTP/1.1" 200 14647
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/waitme/waitMe.css HTTP/1.1" 200 14647
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/dropzone/dropzone.css HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/dropzone/dropzone.css HTTP/1.1" 200 12587
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-material-datetimepicker/css/bootstrap-material-datetimepicker.css HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 200 7096
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 200 38384
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/images/magnifier.svg HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-select/css/bootstrap-select.css.map HTTP/1.1" 200 15601
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:43 +0800] "GET /login_demo/assets/plugins/bootstrap-select/css/bootstrap-select.css.map HTTP/1.1" 200 15601
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/reports.html HTTP/1.1" 200 45023
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/css/themes/all-themes.css HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/plugins/morrisjs/morris.css HTTP/1.1" 200 549
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/images/xs/avatar3.jpg HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/images/xs/avatar2.jpg HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 150999
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/images/xs/avatar4.jpg HTTP/1.1" 200 3089
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/css/main.css HTTP/1.1" 200 411002
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/bundles/libscripts.bundle.js HTTP/1.1" 200 133270
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/bundles/morphingscripts.bundle.js HTTP/1.1" 200 892
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/images/xs/avatar1.jpg HTTP/1.1" 200 2850
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/images/xs/avatar5.jpg HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/plugins/waitme/waitMe.js HTTP/1.1" 200 7700
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/bundles/vendorscripts.bundle.js HTTP/1.1" 200 10578
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/plugins/chartjs/Chart.bundle.min.js HTTP/1.1" 200 188455
0:0:0:0:0:0:0:1 - - [22/Dec/2019:23:06:44 +0800] "GET /login_demo/assets/js/pages/charts/sparkline.min.js HTTP/1.1" 200 3501
